name,album,artist,release_date,popularity,danceability,energy,valence,tempo,genre,mood
Blinding Lights,After Hours,The Weeknd,2019-11-29,95,0.514,0.73,0.334,171.005,Pop,Energetic
Can't Stop the Feeling,Trolls Soundtrack,Justin Timberlake,2016-05-06,84,0.736,0.794,0.956,113.462,Pop,Happy
Happy,Girl,Pharrell Williams,2013-11-22,85,0.826,0.841,0.962,160.018,Pop,Happy
Shake It Off,1989,Taylor Swift,2014-08-18,86,0.646,0.793,0.938,160.078,Pop,Happy
Uptown Funk,Uptown Special,Mark Ronson ft. Bruno Mars,2014-11-10,90,0.896,0.711,0.953,115.042,Pop,Happy
Levitating,Future Nostalgia,Dua Lipa,2020-10-01,87,0.702,0.826,0.915,103.016,Pop,Happy
As It Was,Harry's House,Harry Styles,2022-04-01,95,0.52,0.731,0.662,174.018,Pop,Happy
Flowers,Endless Summer Vacation,Miley Cyrus,2023-01-13,89,0.676,0.712,0.87,118.044,Pop,Happy
Anti-Hero,Midnights,Taylor Swift,2022-10-21,98,0.637,0.507,0.563,97.008,Pop,Calm
Someone Like You,21,Adele,2011-01-24,85,0.225,0.248,0.07,67.504,Pop,Sad
All of Me,Love in the Future,John Legend,2013-08-12,85,0.42,0.195,0.352,120.077,Pop,Sad
Let Her Go,All the Little Lights,Passenger,2012-07-24,80,0.436,0.358,0.329,75.013,Pop,Sad
Roxanne,Skins,Arizona Zervas,2019-10-04,83,0.732,0.611,0.478,124.057,Pop,Calm
Unstoppable,Alesso,Sia,2015-08-28,78,0.612,0.824,0.637,128.031,Pop,Energetic
Run the World (Girls),4,Beyoncé,2011-04-22,79,0.742,0.781,0.663,128.034,Pop,Energetic
Thunderstruck,The Razors Edge,AC/DC,1990-09-10,82,0.358,0.979,0.446,133.044,Rock,Energetic
Enter Sandman,Metallica,Metallica,1991-08-12,83,0.404,0.972,0.275,123.219,Rock,Energetic
Back in Black,Back in Black,AC/DC,1980-07-25,84,0.502,0.898,0.43,92.06,Rock,Energetic
Bohemian Rhapsody,A Night at the Opera,Queen,1975-10-31,87,0.394,0.562,0.212,71.129,Rock,Sad
Hotel California,Hotel California,Eagles,1977-02-22,84,0.572,0.619,0.496,74.068,Rock,Calm
Smells Like Teen Spirit,Nevermind,Nirvana,1991-09-10,85,0.501,0.909,0.369,116.761,Rock,Energetic
Nothing Else Matters,Metallica,Metallica,1991-08-12,80,0.343,0.445,0.234,69.098,Rock,Sad
Wish You Were Here,Wish You Were Here,Pink Floyd,1975-09-12,82,0.326,0.343,0.356,66.266,Rock,Sad
Under the Bridge,Blood Sugar Sex Magik,Red Hot Chili Peppers,1992-09-29,81,0.473,0.479,0.271,79.151,Rock,Sad
Don't Stop Believin,Escape,Journey,1981-07-17,83,0.522,0.804,0.766,118.991,Rock,Happy
Seven Nation Army,Elephant,The White Stripes,2003-04-01,83,0.502,0.637,0.427,123.764,Rock,Energetic
Yellow,Parachutes,Coldplay,2000-07-10,82,0.508,0.591,0.547,88.747,Rock,Calm
Fix You,X&Y,Coldplay,2005-09-05,84,0.327,0.237,0.228,69,Rock,Sad
In My Life,Rubber Soul,The Beatles,1965-12-03,79,0.541,0.366,0.731,102.278,Rock,Calm
God's Plan,Scorpion,Drake,2018-01-19,90,0.754,0.449,0.357,77.169,Hip-Hop,Calm
HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,88,0.904,0.627,0.421,150.027,Hip-Hop,Energetic
Sicko Mode,Astroworld,Travis Scott,2018-08-03,89,0.836,0.73,0.446,155.008,Hip-Hop,Energetic
Hotline Bling,Views,Drake,2015-10-18,85,0.711,0.401,0.27,135.017,Hip-Hop,Calm
Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-05-23,88,0.512,0.562,0.218,83.989,Hip-Hop,Sad
Rockstar,Beerbongs & Bentleys,Post Malone,2017-09-15,87,0.626,0.567,0.129,159,Hip-Hop,Sad
Sunflower,Spider-Man: Into the Spider-Verse,Post Malone,2018-10-18,90,0.763,0.479,0.91,90.022,Hip-Hop,Happy
The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,88,0.896,0.624,0.344,116.962,Hip-Hop,Energetic
